ENTERTAINMENT VS FINANCE:	 statistic= 8.414955750895349;	 p_value= 4.543295105630299e-17;
ENTERTAINMENT VS FOOD_AND_DRINK:	 statistic= 7.585356917163364;	 p_value= 3.5203187689367904e-14;
ENTERTAINMENT VS HOUSE_AND_HOME:	 statistic= 9.21880715003666;	 p_value= 3.445982798271783e-20;
ENTERTAINMENT VS LIBRARIES_AND_DEMO:	 statistic= 9.582498590729859;	 p_value= 1.159677967310889e-21;
ENTERTAINMENT VS LIFESTYLE:	 statistic= 6.762255814700406;	 p_value= 1.4199087133734524e-11;
ENTERTAINMENT VS MAPS_AND_NAVIGATION:	 statistic= 2.460449197312545;	 p_value= 0.013888387366849848;
ENTERTAINMENT VS MEDICAL:	 statistic= 11.426698998995393;	 p_value= 4.108558490467068e-30;
ENTERTAINMENT VS PARENTING:	 statistic= 11.59939029228931;	 p_value= 5.468742490465063e-31;
ENTERTAINMENT VS PERSONALIZATION:	 statistic= 4.028596358493055;	 p_value= 5.6476873102681936e-05;
ENTERTAINMENT VS PHOTOGRAPHY:	 statistic= 4.837484018953176;	 p_value= 1.3431469222493704e-06;
ENTERTAINMENT VS SHOPPING:	 statistic= -2.8306621037328847;	 p_value= 0.004657867207796136;
ENTERTAINMENT VS SOCIAL:	 statistic= -4.219469600225794;	 p_value= 2.4754939122172362e-05;
ENTERTAINMENT VS SPORTS:	 statistic= 8.18947093127031;	 p_value= 2.87605567737539e-16;
ENTERTAINMENT VS TRAVEL_AND_LOCAL:	 statistic= 3.914174719598907;	 p_value= 9.152172597569738e-05;
ENTERTAINMENT VS VIDEO_PLAYERS:	 statistic= 3.3575907425462193;	 p_value= 0.0007908271280935178;
ENTERTAINMENT VS WEATHER:	 statistic= 7.273334345346841;	 p_value= 3.784750518125969e-13;
ENTERTAINMENT VS GAME:	 statistic= 2.3422748195543903;	 p_value= 0.019169458150625485;
EVENTS VS FOOD_AND_DRINK:	 statistic= -6.889115335269883;	 p_value= 5.8203682262766006e-12;
